Name	Fraction	Experiment
20080311_CPTAC6_07_6A005.RAW		6A_1
20080311_CPTAC6_10_6B019.RAW		6B_1
20080311_CPTAC6_13_6C012.RAW		6C_1
20080311_CPTAC6_16_6D014.RAW		6D_1
20080311_CPTAC6_19_6E010.RAW		6E_1
20080313_CPTAC6_07_6A005.RAW		6A_2
20080313_CPTAC6_10_6B019.RAW		6B_2
20080313_CPTAC6_13_6C012.RAW		6C_2
20080313_CPTAC6_16_6D014.RAW		6D_2
20080313_CPTAC6_19_6E010.RAW		6E_2
20080315_CPTAC6_07_6A005.RAW		6A_3
20080315_CPTAC6_10_6B019.RAW		6B_3
20080315_CPTAC6_13_6C012.RAW		6C_3
20080315_CPTAC6_16_6D014.RAW		6D_3
20080315_CPTAC6_19_6E010.RAW		6E_3
mam_042408o_CPTAC_study6_6A018.RAW		6A_4
mam_042408o_CPTAC_study6_6B011.RAW		6B_4
mam_042408o_CPTAC_study6_6C008.RAW		6C_4
mam_042408o_CPTAC_study6_6D004.RAW		6D_4
mam_042408o_CPTAC_study6_6E004.RAW		6E_4
mam_050108o_CPTAC_study6_6A018_080504183404.RAW		6A_5
mam_050108o_CPTAC_study6_6A018.RAW		6A_6
mam_050108o_CPTAC_study6_6B011_080504231912.RAW		6B_5
mam_050108o_CPTAC_study6_6B011.RAW		6B_6
mam_050108o_CPTAC_study6_6C008_080505040419.RAW		6C_5
mam_050108o_CPTAC_study6_6C008.RAW		6C_6
mam_050108o_CPTAC_study6_6D004_080505084927.RAW		6D_5
mam_050108o_CPTAC_study6_6D004.RAW		6D_6
mam_050108o_CPTAC_study6_6E004_080505133441.RAW		6E_5
mam_050108o_CPTAC_study6_6E004.RAW		6E_6
Orbi2_study6a_W080314_6A013_yeast_S48_ft8_pc.raw		6A_7
Orbi2_study6a_W080314_6B007_yeast_S48_ft8_pc.raw		6B_7
Orbi2_study6a_W080314_6C001_yeast_S48_ft8_pc.raw		6C_7
Orbi2_study6a_W080314_6D007_yeast_S48_ft8_pc.raw		6D_7
Orbi2_study6a_W080314_6E008_yeast_S48_ft8_pc.raw		6E_7
Orbi2_study6b_W080321_6A013_yeast_S48_ft8_pc_01.raw		6A_8
Orbi2_study6b_W080321_6A013_yeast_S48_ft8_pc_02.raw		6A_9
Orbi2_study6b_W080321_6B007_yeast_S48_ft8_pc_01.raw		6B_8
Orbi2_study6b_W080321_6B007_yeast_S48_ft8_pc_02.raw		6B_9
Orbi2_study6b_W080321_6C001_yeast_S48_ft8_pc_01.raw		6C_8
Orbi2_study6b_W080321_6C001_yeast_S48_ft8_pc_02.raw		6C_9
Orbi2_study6b_W080321_6D007_yeast_S48_ft8_pc_01.raw		6D_8
Orbi2_study6b_W080321_6D007_yeast_S48_ft8_pc_02.raw		6D_9
Orbi2_study6b_W080321_6E008_yeast_S48_ft8_pc_01.raw		6E_8
Orbi2_study6b_W080321_6E008_yeast_S48_ft8_pc_02.raw		6E_9
