Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20080311_CPTAC6_07_6A005	6A_1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Gln->pyro-Glu		False	1	2		Standard		6494	7562	7998	4988	0	3010	2242	2097	0	145	28.03	42.04	NaN	4.82	2148	381421	6074	1.59	160	2.63	39583	4886	4770	12.34	18.15	194	3.97	+	0.51668	0.70889	0.31035	0.44057	
20080311_CPTAC6_10_6B019	6B_1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Gln->pyro-Glu		False	1	2		Standard		6752	8069	10004	5910	0	4094	2512	2307	0	205	25.11	39.04	NaN	5.01	2386	472805	7519	1.59	219	2.91	52552	5643	5461	10.74	13.3	236	4.18	+	0.49887	0.67185	0.28606	0.40225	
20080311_CPTAC6_13_6C012	6C_1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Gln->pyro-Glu		False	1	2		Standard		6216	7687	7469	4043	0	3426	1791	1622	0	169	23.98	40.12	NaN	4.93	1678	365982	5801	1.59	152	2.62	39593	4228	4081	10.68	14.06	156	3.69	+	0.50507	0.70171	0.29941	0.42093	
20080311_CPTAC6_16_6D014	6D_1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Gln->pyro-Glu		False	1	2		Standard		6004	8342	9053	6113	0	2940	2838	2741	0	97	31.35	44.84	NaN	3.3	2578	365338	7129	1.95	136	1.91	45881	5964	5847	13	16.31	182	3.05	+	0.49074	0.66832	0.29225	0.40705	
20080311_CPTAC6_19_6E010	6E_1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Gln->pyro-Glu		False	1	2		Standard		5949	8560	9290	6402	0	2888	2775	2698	0	77	29.87	42.14	NaN	2.67	2496	382945	7426	1.94	141	1.9	48027	6246	6116	13.01	16.3	187	2.99	+	0.48227	0.65347	0.28721	0.39507	
20080313_CPTAC6_07_6A005	6A_2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Gln->pyro-Glu		False	1	2		Standard		6363	8866	10732	6974	0	3758	2737	2577	0	160	25.5	36.95	NaN	4.26	2581	447849	8248	1.84	304	3.69	43365	6592	6412	15.2	26.79	336	5.1	+	0.56354	0.76058	0.32661	0.45288	
20080313_CPTAC6_10_6B019	6B_2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Gln->pyro-Glu		False	1	2		Standard		6630	8399	10214	6460	0	3754	2358	2210	0	148	23.09	34.21	NaN	3.94	2228	534739	7823	1.46	270	3.45	50013	6107	5933	12.21	18.95	310	5.08	+	0.56383	0.75733	0.32611	0.45397	
20080313_CPTAC6_13_6C012	6C_2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Gln->pyro-Glu		False	1	2		Standard		6713	8264	10115	6151	0	3964	2647	2447	0	200	26.17	39.78	NaN	5.05	2488	588917	7702	1.31	230	2.99	63165	5856	5690	9.27	12.37	246	4.2	+	0.5309	0.7148	0.30625	0.41867	
20080313_CPTAC6_16_6D014	6D_2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Gln->pyro-Glu		False	1	2		Standard		6315	9758	11616	7762	0	3854	3501	3292	0	209	30.14	42.41	NaN	5.42	3188	606434	9264	1.53	224	2.42	69217	7460	7287	10.78	14.07	271	3.63	+	0.51986	0.69865	0.30298	0.41214	
20080313_CPTAC6_19_6E010	6E_2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Gln->pyro-Glu		False	1	2		Standard		6232	10210	12024	8152	0	3872	3224	3086	0	138	26.81	37.86	NaN	3.56	2906	575058	9681	1.68	237	2.45	66448	7836	7671	11.79	15.24	283	3.61	+	0.52065	0.70151	0.3064	0.42585	
