Name	Fraction	Experiment
20141119_AlCH_1WT_20_2h_n3_1_1200		1WT_20_2h_n3_1
20141119_AlCH_1WT_20_2h_n3_2_1201		1WT_20_2h_n3_2
20141119_AlCH_1WT_20_2h_n3_3_1202		1WT_20_2h_n3_3
20141119_AlCH_2WT_100_2h_n3_1_1203		2WT_100_2h_n3_1
20141119_AlCH_2WT_100_2h_n3_2_1204		2WT_100_2h_n3_2
20141119_AlCH_2WT_100_2h_n3_3_1205		2WT_100_2h_n3_3
20141119_AlCH_3D8_20_2h_n3_1_1206		3D8_20_2h_n3_1
20141119_AlCH_3D8_20_2h_n3_2_1207		3D8_20_2h_n3_2
20141119_AlCH_3D8_20_2h_n3_3_1208		3D8_20_2h_n3_3
20141119_AlCH_4D8_100_2h_n3_1_1209		4D8_100_2h_n3_1
20141119_AlCH_4D8_100_2h_n3_2_1210		4D8_100_2h_n3_2
20141119_AlCH_4D8_100_2h_n3_3_1211		4D8_100_2h_n3_3
20141119_AlCH_1WT_20_2h_n4_1_1212		1WT_20_2h_n4_1
20141119_AlCH_1WT_20_2h_n4_2_1213		1WT_20_2h_n4_2
20141119_AlCH_1WT_20_2h_n4_3_1214		1WT_20_2h_n4_3
20141119_AlCH_2WT_100_2h_n4_1_1215		2WT_100_2h_n4_1
20141119_AlCH_2WT_100_2h_n4_2_1216		2WT_100_2h_n4_2
20141119_AlCH_2WT_100_2h_n4_3_1217		2WT_100_2h_n4_3
20141119_AlCH_3D8_20_2h_n4_1_1218		3D8_20_2h_n4_1
20141119_AlCH_3D8_20_2h_n4_2_1219		3D8_20_2h_n4_2
20141119_AlCH_3D8_20_2h_n4_3_1220		3D8_20_2h_n4_3
20141119_AlCH_4D8_100_2h_n4_1_1221		4D8_100_2h_n4_1
20141119_AlCH_4D8_100_2h_n4_2_1222		4D8_100_2h_n4_2
20141119_AlCH_4D8_100_2h_n4_3_1223		4D8_100_2h_n4_3
20141119_AlCH_1WT_20_2h_n5_1_1224		1WT_20_2h_n5_1
20141119_AlCH_1WT_20_2h_n5_2_1225		1WT_20_2h_n5_2
20141119_AlCH_1WT_20_2h_n5_3_1226		1WT_20_2h_n5_3
20141119_AlCH_2WT_100_2h_n5_1_1227		2WT_100_2h_n5_1
20141119_AlCH_2WT_100_2h_n5_2_1228		2WT_100_2h_n5_2
20141119_AlCH_2WT_100_2h_n5_3_1229		2WT_100_2h_n5_3
20141119_AlCH_3D8_20_2h_n5_1_1230		3D8_20_2h_n5_1
20141119_AlCH_3D8_20_2h_n5_2_1231		3D8_20_2h_n5_2
20141119_AlCH_3D8_20_2h_n5_3_1232		3D8_20_2h_n5_3
20141119_AlCH_4D8_100_2h_n5_1_1233		4D8_100_2h_n5_1
20141119_AlCH_4D8_100_2h_n5_2_1234		4D8_100_2h_n5_2
20141119_AlCH_4D8_100_2h_n5_3_1235		4D8_100_2h_n5_3
20140507_AlCH_3WT_20_2h_1_365		3WT_20_2h_1
20140507_AlCH_3WT_20_2h_2_366		3WT_20_2h_2
20140507_AlCH_3WT_20_2h_3_367		3WT_20_2h_3
20140507_AlCH_4WT_100_2h_1_368		4WT_100_2h_1
20140507_AlCH_4WT_100_2h_2_369		4WT_100_2h_2
20140507_AlCH_4WT_100_2h_3_370		4WT_100_2h_3
20140507_AlCH_7D8_20_2h_1_377		7D8_20_2h_1
20140507_AlCH_7D8_20_2h_2_378		7D8_20_2h_2
20140507_AlCH_7D8_20_2h_3_379		7D8_20_2h_3
20140507_AlCH_8D8_100_2h_1_380		8D8_100_2h_1
20140507_AlCH_8D8_100_2h_2_381		8D8_100_2h_2
20140507_AlCH_8D8_100_2h_3_382		8D8_100_2h_3
